Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2020-01-02;8802.22;8873.63;8786.9;8872.22;491098276
2020-01-03;8755.17;8843.65;8755.17;8793.9;442655172
2020-01-06;8713.89;8849.98;8713.89;8848.52;480710345
2020-01-07;8857.14;8872.47;8821.68;8846.45;405663793
2020-01-08;8845.45;8953.55;8834.94;8912.37;424843103
2020-01-09;8990.04;9004.56;8938.53;8989.63;437017241
2020-01-10;9021.88;9024.87;8951.83;8966.64;410170690
2020-01-13;9007.94;9071.53;8991.36;9070.65;436253448
2020-01-14;9068.02;9080.16;9020.92;9033.42;438305172
2020-01-15;9039.31;9078.87;9008.95;9035.67;419939655
2020-01-16;9088.09;9126.07;9066.31;9125;396793103
2020-01-17;9159.48;9176.47;9118.98;9173.73;434943103
2020-01-21;9145.64;9187.42;9141.79;9166.63;462851724
2020-01-22;9212.352;9242.48;9179.266;9188.575;422308621
2020-01-23;9186.137;9221.125;9145.234;9216.984;424146552
2020-01-24;9266.35;9272.38;9101.44;9141.47;450294828
2020-01-27;8913.16;9001.44;8910.97;8952.18;445401724
2020-01-28;9013.23;9111.32;8994.29;9090.93;372039655
2020-01-29;9141.52;9153.078;9067.289;9101.613;383358621
2020-01-30;9038.922;9140.695;9019.719;9136.087;402327586
2020-01-31;9169.91;9170.215;8961.59;8991.512;463075862
2020-02-03;9033.52;9148.5;9031.07;9126.23;417329310
2020-02-04;9256.938;9352.965;9224.859;9334.056;421624138
2020-02-05;9441.344;9442.754;9311.883;9367.481;424563793
2020-02-06;9395.688;9448.723;9357.863;9445.916;390913793
2020-02-07;9397.77;9453.24;9376.91;9401.1;385977586
2020-02-10;9373.2;9517.74;9373.2;9516.84;375743103
2020-02-11;9567.82;9600.05;9493.63;9517.86;417874138
2020-02-12;9569.824;9615.906;9552.031;9613.201;406034483
2020-02-13;9540.67;9636.41;9532.74;9595.7;386081034
2020-02-14;9613.883;9634.75;9583.082;9623.58;383144828
2020-02-18;9567.28;9647.72;9567.28;9629.8;391975862
2020-02-19;9683.938;9736.574;9676.07;9718.727;424574138
2020-02-20;9696.66;9714.23;9513.23;9627.83;471656897
2020-02-21;9582.543;9594;9406.379;9446.688;472932759
2020-02-24;9055.3;9194.91;9028.88;9079.63;547758621
2020-02-25;9167.328;9183.781;8807.105;8834.865;617827586
2020-02-26;8883.012;9032.875;8813.926;8873.757;615143103
2020-02-27;8632.543;8786.684;8430.535;8436.666;778736207
2020-02-28;8133.848;8490.468;8133.848;8461.835;913994828
2020-03-02;8569.906;8879.391;8446.496;8877.978;729786207
2020-03-03;8892.679;9000.457;8516.584;8594.491;747706897
2020-03-04;8745.637;8952.109;8669.762;8949.28;621184483
2020-03-05;8713.191;8864.191;8613.906;8671.658;646222414
2020-03-06;8395.948;8571.881;8319.904;8530.337;737905172
2020-03-09;7912.145;8241.77;7912.145;7948.027;781094828
2020-03-10;8213.965;8376.438;7942.133;8372.266;764125862
2020-03-11;8166.266;8224.73;7900.988;8006.119;736877586
2020-03-12;7452.758;7808.313;7255.613;7263.653;873539655
2020-03-13;7683.043;7998.509;7301.876;7995.263;807912069
2020-03-16;7502.262;7563.445;6993.605;7020.377;792131034
2020-03-17;7198.527;7550.133;6959.152;7473.95;844827586
2020-03-18;7023.863;7336.879;6837.531;7175.176;843244828
2020-03-19;7190.207;7514.137;7037.473;7288.523;821063793
2020-03-20;7391.215;7487.833;6969.766;6994.291;903437931
2020-03-23;6952.715;7145.289;6771.914;7006.917;746656897
2020-03-24;7348.996;7555.91;7304.391;7553.825;761617241
2020-03-25;7543.961;7777.613;7390.414;7469.615;804558621
2020-03-26;7549.836;7913.109;7549.836;7897.128;689629310
2020-03-27;7657.441;7817.742;7580.219;7588.373;685691379
2020-03-30;7678.832;7902.086;7651.43;7889.006;663258621
2020-03-31;7855.738;8011.598;7765.453;7813.499;699948276
2020-04-01;7582.781;7701.676;7423.969;7486.287;635432759
2020-04-02;7445.88;7641.865;7432.278;7635.658;622101724
2020-04-03;7631.57;7673.488;7439.781;7528.114;565362069
2020-04-06;7819.059;8110.66;7763.09;8081.663;663637931
2020-04-07;8287.477;8305.59;8043.074;8049.307;701622414
2020-04-08;8134.297;8254.414;8058.406;8229.542;598401724
2020-04-09;8284.313;8334.231;8167.933;8238.529;710977586
2020-04-13;8209.684;8338.152;8158.582;8332.738;542562069
2020-04-14;8489.266;8708.547;8470.742;8692.155;643589655
2020-04-15;8548.473;8666.242;8500.559;8591.958;574784483
2020-04-16;8689.091;8793.351;8605.507;8757.832;688943103
2020-04-17;8876.662;8879.24;8704.383;8832.414;747417241
2020-04-20;8742.539;8855.18;8725.324;8726.513;654646552
2020-04-21;8639.742;8663.094;8359.84;8403.003;647636207
2020-04-22;8575.574;8708.477;8550.613;8664.635;521562069
2020-04-23;8693.731;8796.486;8624.634;8641.497;643917241
2020-04-24;8666.571;8791.355;8599.989;8786.604;633305172
2020-04-27;8865.578;8887.625;8803.887;8837.657;634217241
2020-04-28;8913.277;8918.375;8668.672;8677.6;639231034
2020-04-29;8871.039;9025.824;8831.996;8982.762;754920690
2020-04-30;9005.236;9023.032;8920.423;9000.509;744203448
2020-05-01;8791.876;8887.58;8688.576;8718.18;641813793
2020-05-04;8683.941;8840.328;8665.402;8834.111;590025862
2020-05-05;8922.391;9031;8900.574;8930.618;674717241
2020-05-06;8997.023;9065.578;8950.895;8984.858;624143103
2020-05-07;9104.667;9136.183;9045.229;9101.876;648632759
2020-05-08;9165.7;9224.49;9126.967;9220.354;651265517
2020-05-11;9155.211;9346.27;9155.211;9298.923;672187931
2020-05-12;9326.063;9354.445;9109.09;9112.447;743977586
2020-05-13;9123.688;9209.488;8890.156;9000.077;731743103
2020-05-14;8946.447;9097.754;8860.772;9094.426;680186207
2020-05-15;8976.285;9157.465;8958.078;9152.639;817358234
2020-05-18;9281.355;9367.543;9248.785;9331.926;760933644
2020-05-19;9326.285;9422.898;9296.246;9298.545;709151025
2020-05-20;9415.254;9498.277;9412.836;9485.02;707132889
2020-05-21;9487.633;9515.054;9361.83;9377.992;649637852
2020-05-22;9363.676;9421.934;9325.071;9413.988;527978777
2020-05-26;9570.527;9570.527;9379.898;9389.977;746455959
2020-05-27;9366.629;9445.059;9182.445;9442.046;848159329
2020-05-28;9404.828;9568.891;9391.844;9416.713;685691210
2020-05-29;9440.637;9573.555;9379.93;9555.524;919352524
2020-06-01;9526.43;9609.379;9515.344;9598.888;542813516
2020-06-02;9603.184;9660.082;9511.883;9657.307;619337760
2020-06-03;9689.723;9729.688;9648.934;9704.688;674568494
2020-06-04;9672.172;9741.973;9577.707;9629.664;735001112
2020-06-05;9673.094;9846.629;9659.45;9824.391;829499554
2020-06-08;9805.688;9904.516;9753.875;9901.521;646993069
2020-06-09;9861.184;10006.902;9859;9967.174;634383930
2020-06-10;10037.98;10155.2;10022.44;10094.26;716972782
2020-06-11;9907.563;9978.195;9586.25;9588.479;877844776
2020-06-12;9785.582;9849.007;9499.095;9663.774;764318917
2020-06-15;9517.141;9809.41;9489.582;9776.891;664593691
2020-06-16;9983.648;10010.891;9801.449;9949.366;670730714
2020-06-17;9998.859;10058.65;9952.504;9982.479;551189923
2020-06-18;9972.352;10018.563;9942.106;10012.05;548918628
2020-06-19;10104.63;10121.669;9937.814;10008.64;1044615131
2020-06-22;10009.004;10134.637;9989.488;10130.33;567900066
2020-06-23;10192.422;10306.898;10172.066;10209.82;625462938
2020-06-24;10183.77;10232.43;9943.246;10002.7;721036282
2020-06-25;10003.499;10110.291;9901.214;10101.83;616018545
2020-06-26;10087.08;10093.979;9837.741;9849.356;1041152637
2020-06-29;9850.547;9965.082;9742.895;9961.163;600407210
2020-06-30;9970.207;10185.355;9956.832;10156.85;674371333
2020-07-01;10160.41;10321.77;10142.75;10279.25;609152292
2020-07-02;10386.379;10432.547;10328.777;10341.89;535942368
2020-07-06;10487.695;10625.094;10485.816;10604.06;565309349
2020-07-07;10595.95;10704.93;10516.63;10524.01;530016542
2020-07-08;10594.41;10669.13;10528.82;10666.7;525667217
2020-07-09;10745.87;10785.96;10574.97;10754.59;642230977
2020-07-10;10751.77;10842.78;10639.48;10836.33;583767471
2020-07-13;10951.54;11069.26;10574.55;10602.21;720555632
2020-07-14;10502.85;10701.88;10370.79;10689.52;659413534
2020-07-15;10752.11;10780.41;10570.96;10701.68;622997165
2020-07-16;10589.86;10658.89;10495.09;10626.46;506178628
2020-07-17;10651.59;10680.7;10558.78;10645.22;496638009
2020-07-20;10672.96;10971.52;10621.9;10952.08;501101885
2020-07-21;11015.54;11017.43;10800.87;10833.07;555484512
2020-07-22;10850.92;10910.24;10776.24;10870.75;606201172
2020-07-23;10853.16;10885.38;10531.21;10580.59;770152893
2020-07-24;10389.53;10543.42;10313.94;10483.13;887277025
2020-07-27;10547.11;10689.55;10527.64;10674.38;654022928
2020-07-28;10644.34;10662.19;10527.43;10532.5;580154228
2020-07-29;10602.4;10694.88;10587.2;10662.98;627210896
