Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2020-01-02;1.42625;1.43291;1.42452;1.43199
2020-01-03;1.43178;1.4429;1.43129;1.438
2020-01-06;1.44159;1.44394;1.43724;1.44119
2020-01-07;1.44119;1.4579;1.44107;1.45603
2020-01-08;1.45599;1.46002;1.45233;1.45658
2020-01-09;1.4566;1.45977;1.45338;1.45909
2020-01-10;1.45902;1.45966;1.44705;1.44795
2020-01-13;1.44965;1.45033;1.44511;1.44894
2020-01-14;1.44894;1.45237;1.4473;1.44934
2020-01-15;1.44928;1.45402;1.44571;1.44856
2020-01-16;1.44848;1.45178;1.44221;1.44982
2020-01-17;1.44984;1.45514;1.44695;1.45436
2020-01-20;1.45425;1.45875;1.45174;1.45503
2020-01-21;1.45488;1.46145;1.45338;1.46145
2020-01-22;1.46137;1.46475;1.45856;1.46143
2020-01-23;1.46141;1.46417;1.45374;1.46154
2020-01-24;1.46154;1.46675;1.4583;1.46552
2020-01-27;1.46711;1.48093;1.46692;1.47931
2020-01-28;1.47936;1.48425;1.47807;1.4794
2020-01-29;1.4794;1.48469;1.47549;1.48199
2020-01-30;1.48188;1.49245;1.48034;1.48849
2020-01-31;1.48843;1.49636;1.48613;1.49392
2020-02-03;1.49593;1.49613;1.49098;1.49479
2020-02-04;1.49479;1.49716;1.48313;1.48361
2020-02-05;1.48366;1.48723;1.47619;1.48223
2020-02-06;1.48223;1.48648;1.47826;1.48509
2020-02-07;1.48538;1.50096;1.48454;1.49777
2020-02-10;1.49835;1.50002;1.49089;1.49595
2020-02-11;1.49593;1.49642;1.48441;1.48925
2020-02-12;1.4892;1.48971;1.4815;1.48489
2020-02-13;1.48487;1.49096;1.48265;1.48878
2020-02-14;1.48883;1.49042;1.48571;1.48974
2020-02-17;1.48836;1.48991;1.48511;1.48976
2020-02-18;1.4898;1.49835;1.48945;1.49537
2020-02-19;1.49539;1.50029;1.49089;1.49772
2020-02-20;1.49779;1.5127;1.49412;1.51229
2020-02-21;1.5124;1.51837;1.50625;1.509
2020-02-24;1.51609;1.51805;1.51064;1.51513
2020-02-25;1.51485;1.51826;1.51003;1.51522
2020-02-26;1.51522;1.5284;1.51357;1.52723
2020-02-27;1.52725;1.52816;1.51701;1.52117
2020-02-28;1.52107;1.55359;1.51851;1.53518
2020-03-02;1.54221;1.5424;1.52253;1.53048
2020-03-03;1.53048;1.53619;1.505;1.51888
2020-03-04;1.5189;1.52036;1.50884;1.51021
2020-03-05;1.51035;1.51876;1.50675;1.51215
2020-03-06;1.51208;1.51849;1.50213;1.50668
2020-03-09;1.51307;1.58336;1.49589;1.51341
2020-03-10;1.51345;1.54693;1.51323;1.53674
2020-03-11;1.53671;1.54485;1.52922;1.54292
2020-03-12;1.5429;1.6094;1.54157;1.59096
2020-03-13;1.59089;1.63279;1.58155;1.61316
2020-03-16;1.62132;1.64479;1.608;1.63324
2020-03-17;1.63305;1.67785;1.62673;1.67026
2020-03-18;1.67003;1.75343;1.65917;1.72646
2020-03-19;1.72628;1.81482;1.67698;1.76317
2020-03-20;1.76404;1.76404;1.67104;1.72227
2020-03-23;1.74951;1.75417;1.71142;1.71142
2020-03-24;1.71151;1.7153;1.66945;1.67286
2020-03-25;1.673;1.6965;1.64658;1.69552
2020-03-26;1.69543;1.7034;1.64274;1.65651
2020-03-27;1.65653;1.66014;1.6129;1.62135
2020-03-30;1.62501;1.6357;1.617;1.62151
2020-03-31;1.62167;1.64433;1.60948;1.6239
2020-04-01;1.62404;1.65571;1.61998;1.64832
2020-04-02;1.64758;1.66461;1.6342;1.64995
2020-04-03;1.65006;1.67218;1.64593;1.66842
2020-04-06;1.66706;1.66911;1.63789;1.64406
2020-04-07;1.64403;1.64579;1.61082;1.62153
2020-04-08;1.62135;1.63506;1.60213;1.60408
2020-04-09;1.60408;1.61402;1.57255;1.57906
2020-04-13;1.57438;1.58055;1.56038;1.56676
2020-04-14;1.56681;1.56848;1.55161;1.55231
2020-04-15;1.55229;1.59114;1.55188;1.58188
2020-04-16;1.58188;1.59619;1.57011;1.5726
2020-04-17;1.57287;1.58353;1.56622;1.57126
2020-04-20;1.57085;1.57953;1.56316;1.57921
2020-04-21;1.57906;1.59905;1.57555;1.59074
2020-04-22;1.59074;1.59312;1.57451;1.58188
2020-04-23;1.5819;1.59157;1.56121;1.56912
2020-04-24;1.56907;1.57791;1.56504;1.56541
2020-04-27;1.56553;1.56676;1.54536;1.54677
2020-04-28;1.54686;1.55415;1.53516;1.5409
2020-04-29;1.54083;1.54083;1.52439;1.52511
2020-04-30;1.52511;1.54069;1.52212;1.53752
2020-05-01;1.53759;1.55997;1.53711;1.55727
2020-05-04;1.56126;1.56914;1.55407;1.55618
2020-05-05;1.55623;1.55819;1.54412;1.55545
2020-05-06;1.55545;1.56402;1.54969;1.56333
2020-05-07;1.56333;1.56769;1.53709;1.53976
2020-05-08;1.53976;1.53995;1.52716;1.53118
2020-05-11;1.53287;1.54859;1.52411;1.54069
2020-05-12;1.54069;1.55451;1.53032;1.544
2020-05-13;1.54397;1.55308;1.53273;1.54935
2020-05-14;1.54907;1.5616;1.54595;1.54701
2020-05-15;1.54696;1.56194;1.54471;1.55887
2020-05-18;1.55928;1.55931;1.532;1.53454
2020-05-19;1.53494;1.53607;1.51879;1.53123
2020-05-20;1.53111;1.53247;1.51149;1.51612
2020-05-21;1.51619;1.52695;1.51556;1.5242
2020-05-22;1.52432;1.537;1.52149;1.52978
2020-05-25;1.53099;1.53365;1.52662;1.52898
2020-05-26;1.52894;1.52954;1.49815;1.50444
2020-05-27;1.50401;1.52177;1.49701;1.51128
2020-05-28;1.51133;1.51782;1.49984;1.51053
2020-05-29;1.51053;1.51083;1.4964;1.50038
2020-06-01;1.50067;1.50401;1.46761;1.47044
2020-06-02;1.47044;1.47601;1.44963;1.45157
2020-06-03;1.45157;1.45843;1.43197;1.44456
2020-06-04;1.44456;1.45292;1.43115;1.44092
2020-06-05;1.4408;1.44281;1.42594;1.43596
2020-06-08;1.43365;1.43637;1.42266;1.4255
2020-06-09;1.4255;1.44953;1.42033;1.43773
2020-06-10;1.43775;1.44238;1.41583;1.42955
2020-06-11;1.42955;1.46205;1.42774;1.46133
2020-06-12;1.46101;1.47059;1.44684;1.45811
2020-06-15;1.46516;1.47556;1.44404;1.44536
2020-06-16;1.44536;1.46323;1.43347;1.45311
2020-06-17;1.45311;1.45934;1.44459;1.45285
2020-06-18;1.45285;1.46278;1.44881;1.46024
2020-06-19;1.46032;1.46398;1.44691;1.46113
2020-06-22;1.46619;1.46826;1.44452;1.44686
2020-06-23;1.44705;1.458;1.43373;1.4435
2020-06-24;1.44331;1.45703;1.43633;1.45563
2020-06-25;1.45565;1.46037;1.45079;1.45184
2020-06-26;1.45182;1.46184;1.45022;1.45707
2020-06-29;1.4597;1.46158;1.45121;1.45611
2020-06-30;1.45624;1.46349;1.44682;1.44877
2020-07-01;1.44871;1.454;1.4402;1.44665
2020-07-02;1.44659;1.4489;1.43835;1.44434
2020-07-03;1.44438;1.44636;1.43926;1.44036
2020-07-06;1.442;1.442;1.43109;1.43359
2020-07-07;1.43359;1.44459;1.42904;1.43991
2020-07-08;1.43995;1.44352;1.43135;1.43242
2020-07-09;1.43244;1.43883;1.42835;1.43664
2020-07-10;1.43662;1.44427;1.43486;1.43895
2020-07-13;1.438;1.44109;1.42998;1.44044
2020-07-14;1.44044;1.44471;1.43285;1.43326
2020-07-15;1.4332;1.43322;1.4209;1.42668
2020-07-16;1.42664;1.4361;1.42605;1.43493
2020-07-17;1.43482;1.43493;1.42753;1.42837
2020-07-20;1.43062;1.43404;1.4247;1.42521
2020-07-21;1.42544;1.42544;1.39919;1.40192
2020-07-22;1.4019;1.40596;1.39231;1.40097
2020-07-23;1.40082;1.4103;1.39638;1.4092
2020-07-24;1.40907;1.41565;1.40343;1.40901
2020-07-27;1.4092;1.41097;1.39858;1.39936
2020-07-28;1.39901;1.40586;1.3934;1.39733
2020-07-29;1.39735;1.39876;1.38962;1.39076
2020-07-30;1.39074;1.40418;1.38931;1.39111
2020-07-31;1.39109;1.40184;1.3837;1.39993
2020-08-03;1.40184;1.41313;1.39866;1.4042
2020-08-04;1.40347;1.40722;1.39526;1.3969
2020-08-05;1.39677;1.39784;1.38112;1.39005
2020-08-06;1.39016;1.39381;1.38131;1.38249
2020-08-07;1.38253;1.39964;1.38055;1.3976
2020-08-10;1.39714;1.4005;1.39192;1.39819
2020-08-11;1.39819;1.4015;1.39094;1.40011
2020-08-12;1.39997;1.40661;1.39361;1.39665
2020-08-13;1.39628;1.40136;1.39125;1.39897
2020-08-14;1.39895;1.40209;1.39367;1.39402
2020-08-17;1.39419;1.39453;1.38362;1.38633
2020-08-18;1.38633;1.38714;1.37654;1.38093
2020-08-19;1.38091;1.39282;1.37442;1.39181
2020-08-20;1.39202;1.40136;1.38839;1.39055
2020-08-21;1.39053;1.40062;1.38581;1.39571
2020-08-24;1.3961;1.39805;1.3881;1.39575
2020-08-25;1.39612;1.39839;1.38931;1.38991
2020-08-26;1.38995;1.39128;1.38125;1.38257
2020-08-27;1.38253;1.38544;1.3717;1.37726
2020-08-28;1.37726;1.37834;1.35882;1.35938
2020-08-31;1.35799;1.36229;1.35088;1.35579
2020-09-01;1.35573;1.3587;1.34889;1.3559
2020-09-02;1.35582;1.36953;1.35472;1.36314
2020-09-03;1.36316;1.37641;1.36282;1.37499
2020-09-04;1.37518;1.38458;1.37014;1.37088
2020-09-07;1.37259;1.37548;1.3702;1.37421
2020-09-08;1.37404;1.389;1.36819;1.38879
2020-09-09;1.38858;1.39036;1.37221;1.37325
2020-09-10;1.37327;1.37963;1.3653;1.37802
2020-09-11;1.37804;1.37807;1.36872;1.37366
2020-09-14;1.37331;1.37656;1.36919;1.37142
2020-09-15;1.3715;1.37606;1.3619;1.36973
2020-09-16;1.36971;1.37385;1.36154;1.36938
2020-09-17;1.36924;1.37844;1.36696;1.36805
2020-09-18;1.36805;1.37306;1.36351;1.37105
2020-09-21;1.37018;1.38902;1.36532;1.38414
2020-09-22;1.38422;1.3977;1.38209;1.39513
2020-09-23;1.39511;1.41467;1.39324;1.41347
2020-09-24;1.41347;1.42523;1.41223;1.41939
2020-09-25;1.41933;1.42729;1.41113;1.42191
2020-09-28;1.42181;1.42191;1.41351;1.41383
2020-09-29;1.41399;1.41449;1.40091;1.40266
2020-09-30;1.40256;1.40835;1.39365;1.39641
2020-10-01;1.39641;1.39757;1.38712;1.39158
2020-10-02;1.39183;1.40225;1.39113;1.39714
2020-10-05;1.39581;1.39684;1.3903;1.39287
2020-10-06;1.3928;1.40889;1.38727;1.40815
2020-10-07;1.40815;1.40907;1.39829;1.40066
2020-10-08;1.40066;1.40384;1.3946;1.39497
2020-10-09;1.39497;1.39503;1.38125;1.38185
2020-10-12;1.38341;1.38812;1.38219;1.38719
2020-10-13;1.38721;1.39846;1.387;1.39678
2020-10-14;1.39694;1.39796;1.39072;1.39517
2020-10-15;1.39544;1.41719;1.39505;1.40954
2020-10-16;1.40954;1.41429;1.40915;1.41235
2020-10-19;1.41321;1.41669;1.40552;1.41563
2020-10-20;1.41561;1.4243;1.41391;1.41882
2020-10-21;1.41882;1.419;1.40131;1.40552
2020-10-22;1.40548;1.41137;1.40345;1.40554
2020-10-23;1.40554;1.40823;1.39704;1.40074
2020-10-26;1.40511;1.40782;1.39929;1.40459
2020-10-27;1.40469;1.40582;1.39917;1.40501
2020-10-28;1.40497;1.42078;1.39717;1.41826
2020-10-29;1.41818;1.42804;1.41321;1.42274
2020-10-30;1.42282;1.42619;1.41401;1.42286
2020-11-02;1.4247;1.43023;1.41689;1.41848
2020-11-03;1.41844;1.42288;1.39381;1.39581
